ensembl_gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSMUSG00000042367,1.017414991,-0.268779188,3.160658014,0.005914162,0.165032187,-2.967316656
ENSMUSG00000024827,1.860834158,4.304002136,4.566867215,0.000298498,0.025478439,-0.114720144
ENSMUSG00000083669,1.627792621,8.187265298,6.445496752,7.19E-06,0.00291252,3.532454582
ENSMUSG00000072618,-1.124890526,-0.316948911,-3.750508477,0.001682119,0.078113841,-1.740481276
ENSMUSG00000074179,5.377917554,3.494600739,7.41545239,1.26E-06,0.000965147,5.513545736
ENSMUSG00000087142,-1.285439212,1.468469232,-3.350151151,0.003953743,0.13038832,-2.449169913
ENSMUSG00000087352,-1.08983235,0.479683257,-2.965567596,0.008927244,0.211058398,-3.289368554
ENSMUSG00000085087,-1.061059104,2.08136355,-2.680938087,0.016148151,0.265904983,-3.802895186
ENSMUSG00000074469,-2.528842127,1.222685189,-6.009883203,1.64E-05,0.004546915,3.008034968
ENSMUSG00000086156,-1.027338942,0.442897387,-3.112274036,0.006552108,0.175806088,-2.952218184
ENSMUSG00000074398,2.195641131,2.08233729,3.623674755,0.002205512,0.090719415,-1.909317301
ENSMUSG00000083396,-1.018566637,1.039012178,-2.82926423,0.011874067,0.252022551,-3.485251261
ENSMUSG00000086387,-2.194284837,-0.064607058,-7.698072769,7.77E-07,0.000646435,5.944505221
ENSMUSG00000081596,-1.318181788,1.345224571,-2.645744087,0.017361027,0.265904983,-3.853992795
ENSMUSG00000086287,-1.013885377,1.202437438,-2.651599783,0.017153345,0.265904983,-3.886684022
ENSMUSG00000085541,1.117710982,2.414930487,2.728928169,0.014624681,0.265904983,-3.774449607
ENSMUSG00000085705,-1.218014851,0.951688372,-4.066285362,0.000858168,0.05172914,-0.933730251
ENSMUSG00000087135,-1.057137877,2.220989857,-3.114863705,0.006516313,0.175500048,-3.001365108
ENSMUSG00000059658,1.06989768,1.51002527,3.613037873,0.002256198,0.092207976,-1.888655406
ENSMUSG00000097804,1.525748777,3.406541313,3.178186607,0.005698452,0.162490915,-2.939909912
ENSMUSG00000097357,-1.049100177,0.644710803,-3.818686978,0.001454272,0.071605134,-1.444790262
ENSMUSG00000085689,2.052639315,-0.081680276,5.357811326,5.90E-05,0.009281613,1.664385422
ENSMUSG00000091968,1.009638562,0.784241882,2.619457199,0.018323355,0.265904983,-3.926208075
ENSMUSG00000099413,1.115090941,3.909265158,3.511165846,0.002804547,0.104728914,-2.294246356
ENSMUSG00000100551,-1.301837965,0.775012377,-3.938469316,0.001126439,0.061323604,-1.198409613
ENSMUSG00000092500,-1.246412806,3.624205138,-2.210298005,0.041621882,0.412879908,-4.881533275
ENSMUSG00000097789,1.226023529,0.96722331,3.975175361,0.001041722,0.058475695,-1.130195725
ENSMUSG00000064494,1.069731486,0.104239597,3.690434984,0.00191239,0.084371311,-1.752426249
ENSMUSG00000087881,-1.042537981,0.285085573,-3.611322831,0.002264479,0.092459086,-2.034634258
ENSMUSG00000064853,1.035172728,1.49729505,3.495460434,0.002900172,0.106553019,-2.128532324
ENSMUSG00000064394,-1.429359274,0.490649615,-3.169028111,0.005810174,0.163648376,-2.83450506
ENSMUSG00000077505,-1.106363779,0.724101518,-3.283046305,0.004560801,0.143244903,-2.586169678
ENSMUSG00000097458,-1.069581012,0.330988961,-2.956931055,0.00909067,0.212442867,-3.234614245
ENSMUSG00000097017,1.10174817,0.113488125,3.413401944,0.003455109,0.119403305,-2.323881303
ENSMUSG00000097038,-1.011687773,0.102662848,-2.157039631,0.046166725,0.438433568,-4.763986506
ENSMUSG00000097312,1.088538125,0.222587983,3.341844449,0.004024317,0.131879378,-2.497203278
ENSMUSG00000101249,1.146252715,7.230332926,5.441932277,4.98E-05,0.008595206,1.566391811
ENSMUSG00000079710,1.330901375,0.534278788,3.58464704,0.002397254,0.095536957,-1.980514686
ENSMUSG00000079710,1.330901375,0.534278788,3.58464704,0.002397254,0.095536957,-1.980514686
ENSMUSG00000100426,-3.023068169,1.728894347,-6.164622844,1.22E-05,0.003743092,3.298360887
ENSMUSG00000097979,1.170024543,4.68218337,2.581769208,0.019792413,0.265904983,-4.182154098
ENSMUSG00000069324,2.922441215,1.762728574,6.285955267,9.69E-06,0.003267772,3.501116697
ENSMUSG00000084288,1.143252903,-0.250397986,3.456807174,0.003149566,0.113029199,-2.287597043
ENSMUSG00000046687,-1.691697242,7.561046385,-6.053076669,1.51E-05,0.004382029,2.808461632
ENSMUSG00000079029,-1.05190421,-0.557258711,-4.610007808,0.000272778,0.024044456,0.097963771
ENSMUSG00000082896,-1.123703675,3.575375343,-3.810720058,0.001479211,0.072257641,-1.624500653
ENSMUSG00000084291,1.395701327,2.608337304,2.387908904,0.029293264,0.337094513,-4.450581132
ENSMUSG00000067121,1.360566148,0.9278089,2.963202237,0.008971716,0.211373225,-3.245409791
ENSMUSG00000093798,-1.065301176,3.895507967,-3.785532472,0.001560918,0.074483493,-1.680744488
ENSMUSG00000023120,-2.891696236,5.005454662,-8.213611186,3.30E-07,0.000396884,6.816717739
ENSMUSG00000083362,1.26418596,1.214021612,5.020126446,0.000116877,0.014169319,1.018907886
ENSMUSG00000053358,1.060082419,0.352042696,2.435502843,0.02662568,0.31719225,-4.258035367
ENSMUSG00000015812,-1.113373675,2.567304849,-3.374737549,0.003751962,0.125977425,-2.421615383
ENSMUSG00000021556,1.567831432,2.505895571,6.03948075,1.55E-05,0.004467315,2.979370915
ENSMUSG00000021340,1.020459025,1.36223961,3.318305077,0.004231156,0.135849001,-2.502743754
ENSMUSG00000031517,-1.163787051,7.515633161,-4.707872889,0.000222491,0.021351224,0.055920835
ENSMUSG00000074934,1.950223703,0.359903415,7.894404983,5.58E-07,0.00054932,6.334481971
ENSMUSG00000020734,-1.3747042,0.610872074,-3.770530331,0.001611722,0.076152084,-1.588167899
ENSMUSG00000039934,-1.163779435,2.364218607,-4.659387433,0.000246098,0.022623968,0.235849388
ENSMUSG00000055748,-1.032394951,-0.246423828,-3.168909541,0.005811635,0.163648376,-3.190863119
ENSMUSG00000027610,-1.021644936,7.920047984,-5.90581398,2.00E-05,0.005069682,2.506367538
ENSMUSG00000074183,1.932193147,0.210387777,4.576377907,0.000292623,0.025282772,-0.006750713
ENSMUSG00000057933,4.047805891,5.73212707,8.483584422,2.14E-07,0.000319015,7.228295937
ENSMUSG00000025934,2.238396294,5.599324256,6.500727643,6.49E-06,0.002749388,3.717526681
ENSMUSG00000058135,1.150551893,9.847464757,4.276370944,0.00054977,0.038315687,-0.976598151
ENSMUSG00000068762,1.340243659,1.981288529,5.120658973,9.52E-05,0.01239874,1.205765548
ENSMUSG00000025068,1.680711322,5.129044827,7.977197385,4.87E-07,0.000494657,6.391881497
ENSMUSG00000019837,-1.034594554,5.636730574,-4.741832073,0.000207346,0.020441785,0.228275657
ENSMUSG00000020444,1.160734511,6.794010054,4.61855577,0.000267956,0.023813453,-0.123060692
ENSMUSG00000025534,-2.003338621,4.664080599,-5.797977824,2.47E-05,0.005971369,2.427908556
ENSMUSG00000021884,1.419467045,2.804594489,2.738296791,0.01434385,0.265904983,-3.854587512
ENSMUSG00000021613,-2.499954523,0.227425485,-7.207635825,1.81E-06,0.001260323,5.184628504
ENSMUSG00000027360,-2.534817479,6.377274797,-7.166695531,1.95E-06,0.001295348,4.956485815
ENSMUSG00000038422,-1.159074244,5.369130969,-3.525821724,0.002718148,0.103284844,-2.322318786
ENSMUSG00000019853,1.018972193,1.866552093,3.85536494,0.001344799,0.068313284,-1.435574149
ENSMUSG00000045662,-1.172853454,0.066116406,-2.76270667,0.013636329,0.265904983,-3.685468535
ENSMUSG00000020064,-1.003114884,5.770324864,-5.053947111,0.000109074,0.013373128,0.823570172
ENSMUSG00000039307,-1.314323176,1.963373907,-4.478811016,0.00035895,0.029201822,-0.119324175
ENSMUSG00000006611,1.446910267,3.802256594,6.59592638,5.44E-06,0.002396654,3.988405367
ENSMUSG00000064325,-1.17004633,-0.46150048,-5.358367839,5.89E-05,0.009281613,1.385674194
ENSMUSG00000004328,1.147133342,0.659874173,2.4320496,0.026811256,0.318624177,-4.280390629
ENSMUSG00000081058,-1.125797793,2.819199319,-4.501570919,0.00034222,0.028153506,-0.103034713
ENSMUSG00000056895,1.349574676,2.734171305,2.476378283,0.024519211,0.300535668,-4.267729331
ENSMUSG00000044783,1.141776774,4.522733014,6.029158711,1.58E-05,0.004497052,2.898904058
ENSMUSG00000044783,1.141776774,4.522733014,6.029158711,1.58E-05,0.004497052,2.898904058
ENSMUSG00000085347,1.001330331,0.407893982,3.375086204,0.003749175,0.125977425,-2.380247403
ENSMUSG00000055632,-1.183809259,3.11133186,-4.848367904,0.00016633,0.017730992,0.588296456
ENSMUSG00000027875,5.559754343,4.174273595,6.437783524,7.29E-06,0.00291252,3.689872739
ENSMUSG00000020679,-1.000958153,5.534580221,-2.480879668,0.02429712,0.298829027,-4.465307542
ENSMUSG00000046840,-1.27583528,4.025537654,-3.871551059,0.001299161,0.066699524,-1.518290825
ENSMUSG00000025176,-1.225904972,5.737036774,-3.133802168,0.006260318,0.171442098,-3.208231979
ENSMUSG00000022877,-1.209639814,-0.196111423,-4.615071511,0.000269911,0.023889064,0.189182021
ENSMUSG00000046607,2.500978525,1.866090315,4.68185581,0.000234855,0.022048897,0.305139359
ENSMUSG00000062184,-1.263047087,1.628713843,-2.881893096,0.01063867,0.236730912,-3.438793682
ENSMUSG00000016194,-1.015127047,6.052456631,-3.809824447,0.001482042,0.072279101,-1.842304162
ENSMUSG00000029311,-1.753000822,8.180725687,-9.838705898,2.75E-08,0.000130004,9.229631597
ENSMUSG00000027871,1.058521841,-0.342900651,3.818786935,0.001453962,0.071605134,-1.601124831
ENSMUSG00000002076,-1.774126385,4.349982652,-4.376562959,0.000445022,0.033606715,-0.497446242
ENSMUSG00000021270,-1.058358536,5.338480329,-3.438238233,0.003276846,0.115490153,-2.541807948
ENSMUSG00000029657,-1.104599369,6.614336779,-4.007554902,0.000972339,0.055961188,-1.370223632
ENSMUSG00000006205,-1.261693087,6.537692857,-5.284506436,6.83E-05,0.010269754,1.293954475
ENSMUSG00000035878,-1.792929895,6.863666125,-3.378058296,0.003725503,0.125441429,-2.764143995
ENSMUSG00000058258,-1.810839539,1.077699127,-6.615609706,5.25E-06,0.002366183,4.139977369
ENSMUSG00000064215,1.668147108,6.377047619,4.998443491,0.00012218,0.014689151,0.738647751
ENSMUSG00000079017,1.890465131,4.451084671,4.316543736,0.000505052,0.036624034,-0.585443477
ENSMUSG00000026896,1.417738996,2.517312934,5.686555518,3.07E-05,0.006794465,2.331556508
ENSMUSG00000034459,3.038313669,3.871506665,5.643746428,3.34E-05,0.007019308,2.159092928
ENSMUSG00000074896,1.419408025,4.560487621,2.967304016,0.008894734,0.210708307,-3.447317442
ENSMUSG00000025492,1.074304521,8.035195506,5.916174721,1.96E-05,0.005027905,2.511141796
ENSMUSG00000065968,-1.527832519,0.398697228,-2.763401731,0.013616683,0.265904983,-3.657240466
ENSMUSG00000010048,-1.224781292,4.751283477,-6.703349559,4.47E-06,0.002133536,4.156871491
ENSMUSG00000048583,1.221632402,0.774997061,2.773181134,0.013343153,0.265904983,-3.625707051
ENSMUSG00000015966,1.094403643,4.297321671,3.170708892,0.005789511,0.163614843,-3.015660435
ENSMUSG00000026981,1.48261896,0.554135287,3.426088142,0.003362882,0.117470163,-2.321904053
ENSMUSG00000024810,1.254188324,2.476735768,4.08612475,0.000822743,0.050487645,-1.017969944
ENSMUSG00000031750,-1.606697126,7.055872388,-3.980879402,0.001029147,0.057921284,-1.444575026
ENSMUSG00000003477,-2.814887787,7.324428285,-4.563335299,0.00030071,0.025569241,-0.261121428
ENSMUSG00000050957,1.060236959,2.419538274,2.975852737,0.008736356,0.208472954,-3.345702195
ENSMUSG00000029771,-1.590806112,1.672555039,-3.467145348,0.003080846,0.111208515,-2.228972539
ENSMUSG00000025498,2.489842186,5.394899793,9.170483057,7.36E-08,0.000185259,8.342306525
ENSMUSG00000002325,1.11620226,5.560478128,3.249554808,0.004897375,0.148638423,-2.939656315
ENSMUSG00000035692,1.814783188,2.022347896,4.749074785,0.000204255,0.0203222,0.456483502
ENSMUSG00000052605,-1.206670751,4.268430006,-3.85435669,0.001347695,0.068380118,-1.57312549
ENSMUSG00000037254,-1.028936504,-0.199364466,-2.91005833,0.010029727,0.22774743,-3.416762876
ENSMUSG00000027296,1.136313106,0.232886852,4.129712031,0.000750017,0.047387955,-0.807934688
ENSMUSG00000032758,-3.103296084,13.97065355,-5.05400307,0.000109061,0.013373128,0.517961729
ENSMUSG00000047330,-1.13165869,1.357305255,-2.690596732,0.01582977,0.265904983,-3.792889739
ENSMUSG00000074575,-1.83143871,0.949647803,-4.252411146,0.000578334,0.039793763,-0.567034655
ENSMUSG00000025221,2.744349019,1.519092672,6.408240865,7.71E-06,0.00291252,3.73798308
ENSMUSG00000023243,-1.299800793,7.197623688,-3.623749089,0.002205162,0.090719415,-2.208237943
ENSMUSG00000026058,-1.779185368,0.174824379,-4.803713054,0.000182404,0.018751647,0.56482637
ENSMUSG00000022332,-1.17293871,3.818067519,-6.164737717,1.22E-05,0.003743092,3.155396704
ENSMUSG00000028357,-1.19707419,6.25650096,-4.013417035,0.000960285,0.055554663,-1.336770069
ENSMUSG00000051890,1.138288231,3.431725125,4.088158769,0.000819196,0.050433548,-1.100649483
ENSMUSG00000026308,1.13179355,0.413667575,3.051945482,0.007442721,0.189706111,-3.071978557
ENSMUSG00000071537,1.074718312,0.922951944,2.655865682,0.017003547,0.265904983,-3.841838531
ENSMUSG00000022875,1.034675025,2.792844006,2.411219205,0.027956784,0.32719568,-4.369456293
ENSMUSG00000019761,-1.083168074,1.298955781,-4.181202578,0.000672432,0.043694848,-0.738924394
ENSMUSG00000054146,-1.498952929,0.495149099,-3.001258377,0.008281741,0.201639264,-3.165496374
ENSMUSG00000035775,1.646840611,0.331864578,4.272213817,0.000554621,0.038514536,-0.612054782
ENSMUSG00000061527,-1.18537812,-0.216826576,-3.900965907,0.001220175,0.064011118,-1.48381848
ENSMUSG00000026866,3.437250374,2.81224313,8.804310471,1.29E-07,0.000253851,7.827809863
ENSMUSG00000044350,-1.244698522,1.935262721,-4.135694718,0.000740556,0.046995991,-0.832199925
ENSMUSG00000025937,-1.155835131,7.409575369,-3.426867846,0.003357294,0.117464582,-2.692107435
ENSMUSG00000004880,-1.389455807,4.92308142,-5.313078195,6.45E-05,0.009832438,1.445691507
ENSMUSG00000026822,2.435122593,2.785807627,2.815098239,0.012229649,0.256443418,-3.583390484
ENSMUSG00000031958,-1.426369316,8.879751607,-8.692743678,1.54E-07,0.000265891,7.442238691
ENSMUSG00000032193,-1.620216697,4.33840275,-5.843629707,2.26E-05,0.005588612,2.517802872
ENSMUSG00000033880,2.03605424,8.294181174,9.52059198,4.37E-08,0.000145345,8.784302195
ENSMUSG00000001123,1.201051757,3.664085911,3.521416928,0.002743833,0.103805241,-2.277400802
ENSMUSG00000019906,-1.068558429,2.650599713,-5.768570743,2.62E-05,0.006254123,2.49491279
ENSMUSG00000079342,-2.753569546,4.971237524,-9.303924547,6.02E-08,0.000185259,8.506256997
ENSMUSG00000079342,-2.753569546,4.971237524,-9.303924547,6.02E-08,0.000185259,8.506256997
ENSMUSG00000087303,-3.363566791,0.685130284,-7.792850892,6.62E-07,0.000577406,6.220745978
ENSMUSG00000079344,-1.058308888,-0.641905566,-5.241665728,7.45E-05,0.010807599,1.177444638
ENSMUSG00000039704,-1.106036714,4.441236482,-6.984548286,2.69E-06,0.001593873,4.679762624
ENSMUSG00000111798,-1.106036714,4.441236482,-6.984548286,2.69E-06,0.001593873,4.679762624
ENSMUSG00000036957,1.098566465,1.61140606,3.520157123,0.002751223,0.103818987,-2.092154226
ENSMUSG00000037095,1.279838084,5.120022,2.413791689,0.02781286,0.326466015,-4.58070377
ENSMUSG00000030125,-1.10946718,0.448326417,-3.17897546,0.005688929,0.162484483,-2.860876834
ENSMUSG00000090958,1.008120655,4.372100909,4.329251079,0.00049169,0.035885929,-0.604728178
ENSMUSG00000020377,1.850768177,3.338609629,8.429482489,2.33E-07,0.000325357,7.237838635
ENSMUSG00000025903,-1.328312018,8.600746603,-5.193351,8.22E-05,0.011323506,1.003620512
ENSMUSG00000039246,1.279122857,5.759546225,6.401514806,7.80E-06,0.00291252,3.513576622
ENSMUSG00000022761,-1.068784671,6.089204727,-4.715303773,0.000219083,0.021206693,0.143214361
ENSMUSG00000044313,1.018050092,0.172568655,2.409277009,0.028065909,0.328206581,-4.30251027
ENSMUSG00000068205,-2.529435812,7.220055362,-5.685833157,3.08E-05,0.006794465,2.074830401
ENSMUSG00000042622,1.243462236,1.462233447,2.957806326,0.009073976,0.212232544,-3.275522284
ENSMUSG00000025037,1.061924775,3.32838962,2.149350839,0.046859372,0.441959273,-4.952755661
ENSMUSG00000040147,2.347249702,2.964245246,4.888469973,0.000153134,0.016950436,0.652703187
ENSMUSG00000020941,-1.054038383,3.448575807,-6.016119586,1.62E-05,0.004521766,2.945195504
ENSMUSG00000004864,1.615406265,5.108905,4.093723389,0.00080957,0.050069647,-1.098491107
ENSMUSG00000068037,-1.319644113,0.955009766,-3.32976428,0.004129183,0.133765747,-2.47408904
ENSMUSG00000053907,-1.083628876,8.324035107,-5.718823742,2.88E-05,0.006672193,2.092958356
ENSMUSG00000104463,-1.083628876,8.324035107,-5.718823742,2.88E-05,0.006672193,2.092958356
ENSMUSG00000026669,-1.709104185,2.468634563,-5.29718139,6.66E-05,0.010045854,1.542955274
ENSMUSG00000026355,1.17500676,1.880333229,3.003785001,0.008237813,0.20122788,-3.192449721
ENSMUSG00000027239,-2.031559204,7.22525858,-3.531339393,0.002686312,0.102649691,-2.420548378
ENSMUSG00000032418,-1.732808647,5.650101938,-6.33519709,8.84E-06,0.003088471,3.379574045
ENSMUSG00000064127,-1.064957059,5.160197418,-5.675169122,3.14E-05,0.006830647,2.11730879
ENSMUSG00000024313,-2.29613492,3.963745212,-4.224280759,0.000613798,0.041186325,-0.786296691
ENSMUSG00000009376,-1.582719968,6.262368547,-6.598908522,5.41E-06,0.002396654,3.860096273
ENSMUSG00000028655,-2.840498266,3.185836826,-6.591933633,5.48E-06,0.002396654,4.017015844
ENSMUSG00000040950,-1.630681622,0.265987954,-5.64631331,3.32E-05,0.007017986,2.220446993
ENSMUSG00000054612,1.32846724,4.301721692,5.182586891,8.40E-05,0.011435456,1.224383906
ENSMUSG00000008540,1.963015121,4.545903682,5.13116398,9.32E-05,0.012260469,1.033104993
ENSMUSG00000026688,1.010309679,6.26996385,4.513173412,0.000333999,0.027692502,-0.323180594
ENSMUSG00000033307,1.650752469,9.800646486,8.848430468,1.20E-07,0.000248339,7.663397246
ENSMUSG00000022613,-1.224604912,9.334940176,-2.939636744,0.009426732,0.218175301,-3.74881234
ENSMUSG00000048578,-1.016195133,7.587673962,-5.95878319,1.81E-05,0.004780414,2.617676497
ENSMUSG00000070576,-1.028503767,1.681950328,-3.058969912,0.007333213,0.187955082,-3.084330726
ENSMUSG00000041708,-2.405352767,3.074181596,-4.651742023,0.000250047,0.022623968,0.168837107
ENSMUSG00000022679,-1.644346235,7.390242037,-4.791088958,0.00018723,0.019070785,0.231046381
ENSMUSG00000042761,-1.387746752,3.512088897,-3.269216174,0.004696925,0.14530587,-2.747543399
ENSMUSG00000039693,-1.368316569,1.939577352,-3.968745321,0.001056084,0.058977193,-1.203339747
ENSMUSG00000031765,1.836771017,8.878200442,9.171282138,7.35E-08,0.000185259,8.198747505
ENSMUSG00000031762,1.094581226,6.364184645,3.923472245,0.001163019,0.062684283,-1.578913187
ENSMUSG00000005667,1.627760912,3.0808601,3.960728928,0.00107427,0.059455735,-1.254313346
ENSMUSG00000039431,-2.126114687,1.048969526,-6.957039445,2.82E-06,0.001608231,4.782877876
ENSMUSG00000022824,1.846999268,0.328490262,4.672725524,0.000239359,0.022278421,0.218788595
ENSMUSG00000042485,1.040712822,2.298573286,4.824547342,0.000174716,0.01839827,0.566187087
ENSMUSG00000006517,-1.147978432,8.422312907,-3.227193478,0.005135626,0.152448483,-3.079651258
ENSMUSG00000023341,1.184366592,1.975870399,2.581459791,0.019804926,0.265904983,-4.016389319
ENSMUSG00000039824,-1.205682787,3.12311788,-2.413132971,0.027849647,0.32663127,-4.395125852
ENSMUSG00000034593,-1.292192659,2.920010611,-4.86538493,0.000160594,0.017419783,0.621027858
ENSMUSG00000033590,1.07471949,1.989321876,6.674272922,4.71E-06,0.00218012,4.228738792
ENSMUSG00000037139,-1.839693513,0.262382518,-6.137592549,1.28E-05,0.003885439,3.246907112
ENSMUSG00000078945,-1.049715986,0.634996546,-3.304109955,0.004360937,0.139034409,-2.522209291
ENSMUSG00000038624,-1.456674552,2.568158531,-5.393392321,5.49E-05,0.008913045,1.694955617
ENSMUSG00000027967,-1.579159079,0.090878355,-3.629125386,0.002179982,0.090258821,-1.863374316
ENSMUSG00000056749,2.135189669,2.674076318,3.77904212,0.001582697,0.075273751,-1.646327463
ENSMUSG00000039193,-1.845165971,0.72277078,-6.089024309,1.41E-05,0.004190068,3.169758433
ENSMUSG00000034087,2.261216216,1.058090809,2.748623357,0.014040321,0.265904983,-3.794919128
ENSMUSG00000014776,1.135710236,4.772294783,2.67390032,0.016383999,0.265904983,-4.06189208
ENSMUSG00000042988,-1.313882989,1.199831843,-3.570981484,0.002468255,0.097380181,-2.022940086
ENSMUSG00000042684,1.483014676,3.095748933,4.472420772,0.000363796,0.029265952,-0.200559059
ENSMUSG00000040998,1.129366036,7.113432787,3.73839681,0.001726192,0.079393846,-2.027542388
ENSMUSG00000022206,-1.331000197,3.283523344,-5.708012611,2.94E-05,0.006778852,2.299686206
ENSMUSG00000005677,1.094965324,-0.044696723,3.519716716,0.002753811,0.103818987,-2.183471226
ENSMUSG00000062991,1.633008754,1.092532844,4.850851206,0.00016548,0.017687697,0.668217764
ENSMUSG00000059857,-2.404344963,2.023377832,-5.042666789,0.000111615,0.013607625,1.07504505
ENSMUSG00000024228,-1.054430254,4.538655573,-3.330177302,0.004125553,0.133765747,-2.723402976
ENSMUSG00000034875,-1.740164608,8.203085232,-5.738411064,2.77E-05,0.006490531,2.144631721
ENSMUSG00000090061,-1.67094615,0.615708257,-5.006222117,0.00012025,0.014537433,1.022734311
ENSMUSG00000040258,-1.069014625,0.987309046,-2.272429696,0.036844295,0.385919918,-4.548896505
ENSMUSG00000029605,1.068440392,2.4610136,2.848285405,0.01141232,0.246469668,-3.513828642
ENSMUSG00000001166,1.365544679,3.304479838,6.411927645,7.65E-06,0.00291252,3.720740138
ENSMUSG00000041827,1.501875199,2.234657348,3.870552625,0.001301931,0.066762517,-1.374158591
ENSMUSG00000029561,1.379372736,1.861662032,3.32447095,0.004175982,0.134676961,-2.526984746
ENSMUSG00000011179,-1.938693261,6.719013845,-4.370263664,0.000450966,0.033713808,-0.613241869
ENSMUSG00000031214,-1.17277023,3.26113697,-2.58547827,0.019642994,0.265904983,-4.107783762
ENSMUSG00000029822,-1.133638301,6.421747102,-8.745112486,1.42E-07,0.000265891,7.621403446
ENSMUSG00000022186,-1.281052892,10.17723542,-5.482433732,4.60E-05,0.008595206,1.540472616
ENSMUSG00000028370,1.225520918,4.188408,5.495715493,4.48E-05,0.008595206,1.858818697
ENSMUSG00000037348,-1.137862119,7.787857822,-3.508166051,0.002822566,0.104838369,-2.464274866
ENSMUSG00000035566,-1.045452821,4.534107305,-3.00287812,0.008253554,0.201247213,-3.394816158
ENSMUSG00000044250,1.040802439,1.859715969,3.974576797,0.001043051,0.058475695,-1.204314783
ENSMUSG00000086171,-2.245607902,-0.274964637,-7.971286307,4.91E-07,0.000494657,6.271361588
ENSMUSG00000024579,-1.216534205,4.367811794,-3.560751458,0.002522776,0.098721285,-2.194489957
ENSMUSG00000075270,-1.127029148,2.307802412,-2.911378965,0.010002022,0.22759596,-3.356365316
ENSMUSG00000030671,1.034149654,3.123122455,5.162024694,8.75E-05,0.011802728,1.186107995
ENSMUSG00000024575,-2.635968135,3.904777658,-9.827986013,2.79E-08,0.000130004,9.351148851
ENSMUSG00000006494,1.26034775,4.681901791,6.259783531,1.02E-05,0.003333527,3.290074316
ENSMUSG00000026784,-1.234167435,3.785252392,-5.035423116,0.000113279,0.013771694,0.900684259
ENSMUSG00000022197,-1.006996856,5.035027581,-4.943556668,0.000136733,0.015865467,0.681858313
ENSMUSG00000035357,-1.466729658,4.010461982,-4.81196729,0.000179317,0.018606518,0.426065432
ENSMUSG00000026189,-1.426779055,10.72456578,-5.936162136,1.89E-05,0.004895369,2.451374994
ENSMUSG00000063931,-1.158548662,7.392915701,-3.833803938,0.001408107,0.069808564,-1.810147456
ENSMUSG00000027674,-1.038174407,-0.263041197,-2.725795473,0.014719761,0.265904983,-3.745225066
ENSMUSG00000044703,1.233801914,0.796156334,3.008543829,0.008155691,0.199987712,-3.14037831
ENSMUSG00000068245,1.92136143,2.690483325,4.384289017,0.00043784,0.033351939,-0.399334918
ENSMUSG00000041801,2.147082871,4.07248089,5.455471891,4.85E-05,0.008595206,1.829794985
ENSMUSG00000031732,-1.029225721,2.503147769,-3.231048774,0.005093749,0.151957005,-2.777292182
ENSMUSG00000041720,-1.398045214,7.066716708,-9.783419334,2.98E-08,0.000130004,9.190709365
ENSMUSG00000032294,1.41222208,7.839836315,8.603374479,1.77E-07,0.000273241,7.346288368
ENSMUSG00000060675,1.012013934,4.932575358,2.66558639,0.016666872,0.265904983,-4.100293309
ENSMUSG00000028751,1.030125435,-0.631224519,3.759253027,0.001651001,0.077249,-1.774372264
ENSMUSG00000036834,1.170143468,-0.059329362,10.44105064,1.18E-08,0.000108178,10.24068568
ENSMUSG00000005225,-1.144102107,4.756058945,-3.916740571,0.001179826,0.063063214,-1.488143222
ENSMUSG00000078485,-1.084470106,0.275785025,-5.131419602,9.32E-05,0.012260469,1.070921325
ENSMUSG00000078485,-1.084470106,0.275785025,-5.131419602,9.32E-05,0.012260469,1.070921325
ENSMUSG00000028494,1.313462946,6.468291364,3.8443002,0.001376922,0.069053517,-1.706046014
ENSMUSG00000002831,1.86473032,1.847998503,3.025134838,0.007875593,0.195846946,-3.17775109
ENSMUSG00000035486,-1.215757222,0.86873539,-3.521416438,0.002743835,0.103805241,-2.073332103
ENSMUSG00000031775,-1.28382677,4.617015382,-3.5726148,0.002459659,0.097354334,-2.199228515
ENSMUSG00000029017,-1.024296074,3.608122743,-3.027732778,0.007832593,0.195220986,-3.301488578
ENSMUSG00000041653,-1.322567715,0.653142916,-3.585183019,0.002394511,0.095515601,-1.990967953
ENSMUSG00000028600,-1.417266577,4.896744081,-4.504793366,0.000339916,0.02807553,-0.222962846
ENSMUSG00000030042,-1.018325229,5.021363818,-5.417191732,5.24E-05,0.008750773,1.630850508
ENSMUSG00000022325,1.081195812,3.513325242,3.835638485,0.001402606,0.069808564,-1.624269149
ENSMUSG00000028636,-1.040650272,6.402542,-3.739070738,0.00172371,0.079364006,-1.910611274
ENSMUSG00000024538,-1.642080309,5.546591778,-4.908556664,0.000146932,0.016627287,0.52390332
ENSMUSG00000015474,-1.033807554,5.971768451,-3.102513339,0.006688762,0.177833433,-3.264012422
ENSMUSG00000025467,1.353238564,0.152018497,4.616576046,0.000269065,0.023863,0.190415269
ENSMUSG00000002997,-1.650291844,0.659733318,-3.45144043,0.003185839,0.113627714,-2.239499431
ENSMUSG00000024386,-1.119221481,6.710025609,-4.470256037,0.000365452,0.029290326,-0.411447547
ENSMUSG00000044122,-1.157648311,1.571433185,-2.543864977,0.021382753,0.274857608,-4.048048731
ENSMUSG00000068744,2.261836072,0.735259445,7.837602421,6.14E-07,0.000577406,6.295745757
