ensembl_gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSMUSG00000034255,-1.056211418,4.373873246,-3.812925125,0.001472266,0.072138204,-1.686796342
ENSMUSG00000073433,1.275472821,3.038097952,3.621070242,0.002217817,0.09098304,-1.972120003
ENSMUSG00000051517,-1.142317789,5.446702065,-3.764539097,0.001632471,0.076964436,-1.8452666
ENSMUSG00000029465,-1.018957405,4.315683666,-2.256213809,0.038039521,0.392516338,-4.851876274
ENSMUSG00000042082,-1.072104744,5.403103734,-4.006566132,0.000974387,0.056004588,-1.374868685
ENSMUSG00000020884,1.548824482,2.145010177,3.926330802,0.001155956,0.062381248,-1.282847739
ENSMUSG00000029752,1.61591287,1.933705682,4.814977074,0.000178205,0.018606518,0.574927666
ENSMUSG00000038704,-1.445214182,6.676780428,-3.244511432,0.004950139,0.149297577,-2.999044351
ENSMUSG00000024654,1.129228783,3.758029979,4.9028158,0.000148677,0.016627287,0.662971746
ENSMUSG00000076441,-1.469492366,7.981370401,-6.256655213,1.02E-05,0.003333527,3.180865047
ENSMUSG00000045215,-1.62617374,0.985573819,-5.227032676,7.67E-05,0.010889712,1.473873392
ENSMUSG00000038539,1.021598598,7.152557418,2.222643256,0.04062917,0.408557271,-5.010738945
ENSMUSG00000031441,-2.131658181,8.189697647,-6.341588009,8.73E-06,0.003088471,3.326082557
ENSMUSG00000028238,1.057214202,4.213004098,4.678633479,0.000236435,0.022101305,0.134365771
ENSMUSG00000021983,-1.219640736,1.120494507,-3.558151104,0.002536825,0.098824292,-2.00457345
ENSMUSG00000054843,-1.038384925,3.994536727,-4.996057427,0.000122778,0.01471975,0.832222546
ENSMUSG00000051669,-1.01698676,4.278711005,-2.629854683,0.017936771,0.265904983,-4.058241015
ENSMUSG00000084843,-1.019620157,0.458834981,-3.715884832,0.001811212,0.081485696,-1.701791682
ENSMUSG00000074892,-1.458239071,4.45170789,-4.332244021,0.000488596,0.035720315,-0.603380529
ENSMUSG00000006731,1.268462283,3.34011226,3.970956309,0.001051123,0.058852031,-1.241321052
ENSMUSG00000017929,-1.504546235,4.777883028,-4.57928669,0.00029085,0.025282772,-0.139015474
ENSMUSG00000002083,1.109489158,3.276910811,3.167221043,0.005832471,0.163915172,-2.995998324
ENSMUSG00000041660,1.556382741,-0.117416472,4.52178423,0.000328028,0.027334199,-0.00559548
ENSMUSG00000021763,-1.265056974,1.191029875,-5.685604761,3.08E-05,0.006794465,2.380063691
ENSMUSG00000030268,-1.325891236,3.058951369,-3.904807846,0.001210222,0.063869777,-1.401246181
ENSMUSG00000048251,-1.334090919,3.274227047,-4.507386371,0.000338074,0.027976761,-0.120172448
ENSMUSG00000046598,-1.033256789,7.236885304,-4.40642578,0.000417909,0.032240809,-0.59324737
ENSMUSG00000028545,-1.63465382,3.93727154,-4.670622217,0.000240409,0.022328129,0.169073644
ENSMUSG00000037418,-1.215282133,-0.273339158,-4.459859621,0.000373516,0.029642581,-0.279190874
ENSMUSG00000074768,2.381725983,1.184578638,5.838137789,2.28E-05,0.005616487,2.634753273
ENSMUSG00000023279,1.371487178,-0.239776484,3.440040052,0.003264275,0.115490153,-2.322210983
ENSMUSG00000046718,1.711234282,4.969794277,5.18791963,8.31E-05,0.011412419,1.188141716
ENSMUSG00000020042,-1.112325586,2.598928847,-4.131798011,0.000746705,0.047271563,-0.888545269
ENSMUSG00000020490,-1.091390669,-0.325215354,-3.41013633,0.003479253,0.119699574,-2.441241066
ENSMUSG00000040283,-2.261091292,3.858872656,-5.207682918,7.98E-05,0.011175626,1.289324708
ENSMUSG00000058914,-2.244779858,4.655144281,-5.043912793,0.000111332,0.013607625,0.875344736
ENSMUSG00000040794,1.314057173,1.876722464,4.779838075,0.000191642,0.019404193,0.526773149
